waveform	[0]		[1]	
t0	2018-03-21  12:25:29,265133		2018-03-21  12:25:29,265133	
delta t	2,000000E-6		2,000000E-6	

time[0]	Y[0]	time[1]	Y[1]
2018-03-21  12:25:29,265133	5,411505E-1	2018-03-21  12:25:29,265133	1,768276E-1
2018-03-21  12:25:29,265135	5,411505E-1	2018-03-21  12:25:29,265135	1,768276E-1
2018-03-21  12:25:29,265137	5,411505E-1	2018-03-21  12:25:29,265137	1,810370E-1
2018-03-21  12:25:29,265139	5,411505E-1	2018-03-21  12:25:29,265139	1,852463E-1
2018-03-21  12:25:29,265141	5,411505E-1	2018-03-21  12:25:29,265141	1,936651E-1
2018-03-21  12:25:29,265143	5,411505E-1	2018-03-21  12:25:29,265143	1,978745E-1
2018-03-21  12:25:29,265145	5,411505E-1	2018-03-21  12:25:29,265145	1,978745E-1
2018-03-21  12:25:29,265147	5,411505E-1	2018-03-21  12:25:29,265147	2,020839E-1
2018-03-21  12:25:29,265149	5,411505E-1	2018-03-21  12:25:29,265149	2,062932E-1
2018-03-21  12:25:29,265151	5,411505E-1	2018-03-21  12:25:29,265151	2,147120E-1
2018-03-21  12:25:29,265153	5,411505E-1	2018-03-21  12:25:29,265153	2,189214E-1
2018-03-21  12:25:29,265155	5,411505E-1	2018-03-21  12:25:29,265155	2,147120E-1
2018-03-21  12:25:29,265157	5,411505E-1	2018-03-21  12:25:29,265157	2,231308E-1
2018-03-21  12:25:29,265159	5,411505E-1	2018-03-21  12:25:29,265159	2,315495E-1
2018-03-21  12:25:29,265161	5,411505E-1	2018-03-21  12:25:29,265161	2,357589E-1
2018-03-21  12:25:29,265163	5,411505E-1	2018-03-21  12:25:29,265163	2,357589E-1
2018-03-21  12:25:29,265165	5,411505E-1	2018-03-21  12:25:29,265165	2,399683E-1
2018-03-21  12:25:29,265167	5,411505E-1	2018-03-21  12:25:29,265167	2,483870E-1
2018-03-21  12:25:29,265169	5,411505E-1	2018-03-21  12:25:29,265169	2,525964E-1
2018-03-21  12:25:29,265171	5,411505E-1	2018-03-21  12:25:29,265171	2,568058E-1
2018-03-21  12:25:29,265173	5,411505E-1	2018-03-21  12:25:29,265173	2,610152E-1
2018-03-21  12:25:29,265175	5,411505E-1	2018-03-21  12:25:29,265175	2,652246E-1
2018-03-21  12:25:29,265177	5,411505E-1	2018-03-21  12:25:29,265177	2,694339E-1
2018-03-21  12:25:29,265179	5,411505E-1	2018-03-21  12:25:29,265179	2,694339E-1
2018-03-21  12:25:29,265181	5,411505E-1	2018-03-21  12:25:29,265181	2,778527E-1
2018-03-21  12:25:29,265183	5,411505E-1	2018-03-21  12:25:29,265183	2,778527E-1
2018-03-21  12:25:29,265185	5,411505E-1	2018-03-21  12:25:29,265185	2,778527E-1
2018-03-21  12:25:29,265187	5,411505E-1	2018-03-21  12:25:29,265187	2,862714E-1
2018-03-21  12:25:29,265189	5,411505E-1	2018-03-21  12:25:29,265189	2,904808E-1
