waveform	[0]		[1]	
t0	2018-03-21  12:31:36,208121		2018-03-21  12:31:36,208121	
delta t	2,000000E-6		2,000000E-6	

time[0]	Y[0]	time[1]	Y[1]
2018-03-21  12:31:36,208233	5,411505E-1	2018-03-21  12:31:36,208233	1,266180E-2
2018-03-21  12:31:36,208235	5,411505E-1	2018-03-21  12:31:36,208235	1,266180E-2
2018-03-21  12:31:36,208237	5,411505E-1	2018-03-21  12:31:36,208237	1,266180E-2
2018-03-21  12:31:36,208239	5,411505E-1	2018-03-21  12:31:36,208239	1,687118E-2
2018-03-21  12:31:36,208241	5,411505E-1	2018-03-21  12:31:36,208241	1,266180E-2
2018-03-21  12:31:36,208243	5,411505E-1	2018-03-21  12:31:36,208243	1,266180E-2
2018-03-21  12:31:36,208245	5,411505E-1	2018-03-21  12:31:36,208245	1,266180E-2
2018-03-21  12:31:36,208247	5,411505E-1	2018-03-21  12:31:36,208247	1,266180E-2
2018-03-21  12:31:36,208249	5,411505E-1	2018-03-21  12:31:36,208249	1,687118E-2
2018-03-21  12:31:36,208251	5,411505E-1	2018-03-21  12:31:36,208251	1,687118E-2
2018-03-21  12:31:36,208253	5,411505E-1	2018-03-21  12:31:36,208253	1,266180E-2
2018-03-21  12:31:36,208255	5,411505E-1	2018-03-21  12:31:36,208255	1,266180E-2
2018-03-21  12:31:36,208257	5,411505E-1	2018-03-21  12:31:36,208257	1,266180E-2
2018-03-21  12:31:36,208259	5,411505E-1	2018-03-21  12:31:36,208259	1,266180E-2
2018-03-21  12:31:36,208261	5,411505E-1	2018-03-21  12:31:36,208261	1,266180E-2
2018-03-21  12:31:36,208263	5,411505E-1	2018-03-21  12:31:36,208263	8,452420E-3
2018-03-21  12:31:36,208265	5,411505E-1	2018-03-21  12:31:36,208265	1,266180E-2
2018-03-21  12:31:36,208267	5,411505E-1	2018-03-21  12:31:36,208267	1,266180E-2
2018-03-21  12:31:36,208269	5,411505E-1	2018-03-21  12:31:36,208269	1,687118E-2
2018-03-21  12:31:36,208271	5,411505E-1	2018-03-21  12:31:36,208271	1,266180E-2
2018-03-21  12:31:36,208273	5,411505E-1	2018-03-21  12:31:36,208273	1,266180E-2
2018-03-21  12:31:36,208275	5,411505E-1	2018-03-21  12:31:36,208275	1,266180E-2
2018-03-21  12:31:36,208277	5,411505E-1	2018-03-21  12:31:36,208277	1,266180E-2
2018-03-21  12:31:36,208279	5,411505E-1	2018-03-21  12:31:36,208279	1,266180E-2
2018-03-21  12:31:36,208281	5,411505E-1	2018-03-21  12:31:36,208281	1,687118E-2
2018-03-21  12:31:36,208283	5,411505E-1	2018-03-21  12:31:36,208283	1,687118E-2
2018-03-21  12:31:36,208285	5,411505E-1	2018-03-21  12:31:36,208285	1,687118E-2
2018-03-21  12:31:36,208287	5,411505E-1	2018-03-21  12:31:36,208287	1,266180E-2
2018-03-21  12:31:36,208289	5,411505E-1	2018-03-21  12:31:36,208289	1,687118E-2
2018-03-21  12:31:36,208291	5,411505E-1	2018-03-21  12:31:36,208291	1,687118E-2
2018-03-21  12:31:36,208293	5,411505E-1	2018-03-21  12:31:36,208293	1,687118E-2
2018-03-21  12:31:36,208295	5,411505E-1	2018-03-21  12:31:36,208295	1,266180E-2
2018-03-21  12:31:36,208297	5,411505E-1	2018-03-21  12:31:36,208297	1,687118E-2
2018-03-21  12:31:36,208299	5,411505E-1	2018-03-21  12:31:36,208299	1,687118E-2
2018-03-21  12:31:36,208301	5,411505E-1	2018-03-21  12:31:36,208301	1,687118E-2
2018-03-21  12:31:36,208303	5,411505E-1	2018-03-21  12:31:36,208303	1,687118E-2
2018-03-21  12:31:36,208305	5,411505E-1	2018-03-21  12:31:36,208305	1,687118E-2
2018-03-21  12:31:36,208307	5,411505E-1	2018-03-21  12:31:36,208307	1,266180E-2
2018-03-21  12:31:36,208309	5,411505E-1	2018-03-21  12:31:36,208309	1,687118E-2
2018-03-21  12:31:36,208311	5,411505E-1	2018-03-21  12:31:36,208311	1,687118E-2
2018-03-21  12:31:36,208313	5,411505E-1	2018-03-21  12:31:36,208313	1,687118E-2
2018-03-21  12:31:36,208315	5,411505E-1	2018-03-21  12:31:36,208315	1,266180E-2
2018-03-21  12:31:36,208317	5,411505E-1	2018-03-21  12:31:36,208317	1,266180E-2
2018-03-21  12:31:36,208319	5,411505E-1	2018-03-21  12:31:36,208319	1,266180E-2
2018-03-21  12:31:36,208321	5,411505E-1	2018-03-21  12:31:36,208321	1,687118E-2
