Oscilloscope data: SCP 

Time base: 0,002402 seconds per division
Time offset: 0,000000 seconds
Channel A sensitivity : 2,000000 volts per division
Channel A offset: 0,000000 volts
Channel A color: 255
Channel B sensitivity : 0,500000 volts per division
Channel B offset: 0,000000 volts
Channel B color: 255
Channel A connected: yes
Channel B connected: yes

Column 1  Time (S)
Column 2  Channel_A Voltage(V)
Column 3  Channel_B Voltage(V)

Time                  Channel_A    Channel_B
--------------------------------------------
 8,416681464858e-004  2,0000e+000  1,1368e+000
 8,516681464858e-004  2,0000e+000  1,1272e+000
 8,616681464858e-004  2,0000e+000  1,1174e+000
 8,716681464858e-004  2,0000e+000  1,1075e+000
 8,816681464858e-004  2,0000e+000  1,0975e+000
 8,916681464858e-004  2,0000e+000  1,0873e+000
 9,016681464858e-004  2,0000e+000  1,0769e+000
 9,116681464858e-004  2,0000e+000  1,0664e+000
 9,216681464858e-004  2,0000e+000  1,0559e+000
 9,316681464858e-004  2,0000e+000  1,0452e+000
 9,416681464858e-004  2,0000e+000  1,0344e+000
 9,516681464858e-004  2,0000e+000  1,0235e+000
 9,616681464858e-004  2,0000e+000  1,0125e+000
 9,716681464858e-004  2,0000e+000  1,0014e+000
 9,816681464858e-004  2,0000e+000  9,9027e-001
 9,916681464858e-004  2,0000e+000  9,7906e-001
 1,001668146486e-003  2,0000e+000  9,6778e-001
 1,011668146486e-003  2,0000e+000  9,5645e-001
 1,021668146486e-003  2,0000e+000  9,4507e-001
 1,031668146486e-003  2,0000e+000  9,3365e-001
 1,041668146486e-003  2,0000e+000  9,2219e-001
 1,051668146486e-003  2,0000e+000  9,1069e-001
 1,061668146486e-003  2,0000e+000  8,9917e-001
 1,071668146486e-003  2,0000e+000  8,8763e-001
 1,081668146486e-003  2,0000e+000  8,7607e-001
 1,091668146486e-003  2,0000e+000  8,6450e-001
 1,101668146486e-003  2,0000e+000  8,5292e-001
 1,111668146486e-003  2,0000e+000  8,4134e-001
 1,121668146486e-003  2,0000e+000  8,2977e-001
 1,131668146486e-003  2,0000e+000  8,1820e-001
 1,141668146486e-003  2,0000e+000  8,0664e-001
 1,151668146486e-003  2,0000e+000  7,9510e-001
 1,161668146486e-003  2,0000e+000  7,8359e-001
 1,171668146486e-003  2,0000e+000  7,7209e-001
 1,181668146486e-003  2,0000e+000  7,6063e-001
 1,191668146486e-003  2,0000e+000  7,4919e-001
 1,201668146486e-003  2,0000e+000  7,3780e-001
 1,211668146486e-003  2,0000e+000  7,2644e-001
 1,221668146486e-003  2,0000e+000  7,1512e-001
 1,231668146486e-003  2,0000e+000  7,0385e-001
 1,241668146486e-003  2,0000e+000  6,9263e-001
 1,251668146486e-003  2,0000e+000  6,8147e-001
 1,261668146486e-003  2,0000e+000  6,7036e-001
 1,271668146486e-003  2,0000e+000  6,5930e-001
 1,281668146486e-003  2,0000e+000  6,4831e-001
 1,291668146486e-003  2,0000e+000  6,3738e-001
 1,301668146486e-003  2,0000e+000  6,2652e-001
